Protein_ID,Localizations,Signals,Cytoplasm,Nucleus,Extracellular,Cell membrane,Mitochondrion,Plastid,Endoplasmic reticulum,Lysosome/Vacuole,Golgi apparatus,Peroxisome
AO090103000076-T,Cytoplasm,,0.5343999862670898,0.13339999318122864,0.041099999099969864,0.4778999984264374,0.07840000092983246,0.005499999970197678,0.058400001376867294,0.12950000166893005,0.08049999922513962,0.0
AO090113000063-T,Cytoplasm,,0.6159999966621399,0.16110000014305115,0.01549999974668026,0.48330000042915344,0.1534000039100647,0.002199999988079071,0.1518000066280365,0.2529999911785126,0.13899999856948853,9.999999747378752e-05
AO090701000295-T,Cytoplasm,,0.6200000047683716,0.14270000159740448,0.03920000046491623,0.40119999647140503,0.16899999976158142,0.00279999990016222,0.17599999904632568,0.26809999346733093,0.17399999499320984,9.999999747378752e-05
AO090003000935-T,Cytoplasm,,0.5943999886512756,0.12300000339746475,0.03359999880194664,0.510699987411499,0.1039000004529953,0.005100000184029341,0.1307000070810318,0.2134000062942505,0.09560000151395798,9.999999747378752e-05
AO090020000710-T,Cytoplasm,,0.5982000231742859,0.13689999282360077,0.025200000032782555,0.44269999861717224,0.1339000016450882,0.002199999988079071,0.11620000004768372,0.2021999955177307,0.12060000002384186,9.999999747378752e-05
AO090026000003-T,Cytoplasm,,0.6407999992370605,0.15410000085830688,0.015200000256299973,0.4343999922275543,0.1282999962568283,0.0015999999595806003,0.15569999814033508,0.259799987077713,0.13410000503063202,9.999999747378752e-05
AO090003001507-T,Cytoplasm,,0.661300003528595,0.13030000030994415,0.03269999846816063,0.43230000138282776,0.1412000060081482,0.0032999999821186066,0.1485999971628189,0.26969999074935913,0.1550000011920929,0.00019999999494757503
AO090011000195-T,Cytoplasm,,0.6141999959945679,0.1031000018119812,0.0934000015258789,0.40059998631477356,0.11460000276565552,0.0032999999821186066,0.16050000488758087,0.16009999811649323,0.1331000030040741,9.999999747378752e-05
AO090020000162-T,Cytoplasm,,0.6474000215530396,0.15469999611377716,0.03020000085234642,0.40619999170303345,0.16259999573230743,0.0024999999441206455,0.16779999434947968,0.23190000653266907,0.13230000436306,0.00019999999494757503
AO090010000704-T,Cytoplasm,Nuclear localization signal,0.641700029373169,0.12809999287128448,0.1120000034570694,0.42089998722076416,0.14920000731945038,0.0024999999441206455,0.19850000739097595,0.12939999997615814,0.23000000417232513,0.0003000000142492354
AO090003001484-T,Cytoplasm,,0.646399974822998,0.1298999935388565,0.029400000348687172,0.37630000710487366,0.12620000541210175,0.00279999990016222,0.1404999941587448,0.2904999852180481,0.1437000036239624,0.00019999999494757503
AO090113000195-T,Cytoplasm,,0.6467999815940857,0.16329999268054962,0.016499999910593033,0.428600013256073,0.14110000431537628,0.00139999995008111,0.2126999944448471,0.2305999994277954,0.12250000238418579,9.999999747378752e-05
AO090011000808-T,Cytoplasm,,0.6283000111579895,0.12309999763965607,0.03700000047683716,0.4027999937534332,0.11050000041723251,0.002300000051036477,0.22709999978542328,0.22769999504089355,0.16529999673366547,9.999999747378752e-05
