Accession,Liquid culture rna expression levels
AO090003000054,77.2795658295475
AO090003000174,29.2307591224914
AO090103000388,79.1821544486326
AO090003000400,122.438067752828
AO090005001484,56.2644216902458
AO090023000854,50.8675623181832
AO090020000515,54.3111487919159
AO090701000291,30.4295399627915
AO090701000716,73.5888489547015
AO090012000973,101.392280992903
AO090005001548,73.668388678533
AO090005000377,174.875316078711
AO090005000231,221.00038316769
AO090010000743,111.944617692271
AO090005000646,83.2098731521333
AO090026000775,110.459875882178
AO090009000201,105.477256568923
AO090020000411,37.3410319232643
AO090026000291,53.2375988686391
AO090023000592,3.65688852607026
AO090120000149,53.3758247599082
AO090120000279,140.645645628136
AO090012000210,157.053598657391
AO090012000695,209.142684784694
AO090001000627,84.0334627085371
AO090001000498,71.1703920758221
AO090020000314,85.9187383252604
AO090005000828,9.58251722935698
AO090012000050,136.822076237411
AO090003000397,53.7253093267886
AO090003001086,83.4937721250274
AO090005000157,79.5077389652799
AO090120000501,23.587337361629
AO090005001238,30.4170544715781
AO090701000219,54.339240926878
AO090011000875,99.3293827168161
AO090023000977,126.218316842967
AO090120000124,122.596195819344
AO090023000817,83.0232916255771
AO090120000204,165.940616224172
AO090102000444,106.364731412469
AO090003001195,69.5055670214286
AO090701000137,60.332853988461
AO090009000553,81.2930201533582
AO090020000414,61.3063805409968
AO090023000816,51.6238830281825
AO090012000551,19.1291212907495
AO090023000099,125.762372310322
AO090023000604,28.2821774852909
AO090012000189,99.1712638863663
AO090103000001,113.57369642302
AO090003000180,18.1682804871187
AO090038000562,104.446037385021
AO090026000603,110.407059945642
AO090005001090,81.6238088917334
AO090038000269,149.314544593969
AO090020000048,33.7452022798204
AO090005001515,60.0266219720555
AO090003000690,69.805688781655
AO090012001026,65.9978832496006
AO090003000376,80.035902085863
AO090010000236,25.2172475654896
AO090003000439,13.4408856538268
AO090120000397,69.3244817579042
AO090102000348,56.5008323572261
AO090038000452,128.878107487891
AO090003001115,98.3038014288637
AO090009000713,63.1037456936912
AO090003000705,8.98334193503812
AO090010000675,89.6293789595379
AO090001000574,83.9284208801514
AO090113000129,78.8048985357058
AO090124000073,32.3931344652606
AO090001000300,90.1431897619343
AO090005001408,71.1716408982835
AO090011000648,73.5704727438467
AO090001000661,94.6771021492105
AO090003000980,91.1705578175166
AO090166000031,128.455253231168
AO090120000145,100.778640558589
AO090003000098,107.555658541953
AO090011000572,109.606788135743
AO090005000631,14.9784568477855
AO090003000285,85.6388794761015
AO090003000689,82.6237186213149
AO090113000133,5.96308042239599
AO090102000625,75.5173631261343
AO090124000024,105.588727842289
AO090009000468,46.2894380875912
AO090005000141,64.9288378600812
AO090005001312,6.45752165622104
AO090011000132,0.871229282492921
AO090023000991,88.1990116551395
AO090003000068,109.169760735217
AO090701000734,52.6522929216761
AO090012001004,57.8428436687978
AO090020000127,80.6062156019928
AO090655000001,102.824314620223
AO090003000051,32.5212789566904
AO090023000648,25.8203840049
AO090166000076,101.751187400772
AO090701000685,106.790290319594
AO090003000015,91.7960868434272
AO090009000655,80.7243290304552
AO090120000095,100.800966354016
AO090701000662,5.45195924333348
AO090003000692,65.8355428891036
AO090012000996,40.0690038840034
AO090023000894,65.0734486926803
AO090005000728,52.7918588703066
AO090003001065,63.3948749224823
AO090012000855,160.304672467878
AO090011000642,59.7382710691697
AO090003000253,90.9274040751968
AO090011000951,161.999870870303
AO090023000806,87.8999530232381
AO090038000595,107.240439123845
AO090003000633,33.2193470834358
AO090003000758,62.5708197815731
AO090102000618,118.77050901497
AO090005000892,63.8076950158577
AO090010000617,52.1949436811492
AO090701000709,14.4398438333928
AO090012000261,115.684171394144
AO090001000186,118.571973590083
AO090005001150,113.412414206242
AO090011000845,157.109669859482
AO090003000005,77.7430491068228
AO090001000480,47.4981297714659
AO090701000062,88.7296397230083
AO090023000796,60.7832965031632
AO090012000494,8.46603048489897
AO090001000553,90.0834095070731
AO090005000223,209.33596034062
AO090103000342,53.8459169752
AO090011000236,26.5385397360364
AO090001000338,54.8445974552921
AO090009000472,42.8368226261916
AO090005000802,13.2641779748702
AO090023000476,44.4185408846813
AO090701000004,65.2829583750583
AO090005000734,86.1456763557022
AO090020000046,99.5643697345032
AO090005000269,53.8126804685086
AO090012000708,13.2701647271753
AO090005001544,12.8799276382579
AO090012000601,134.706526091265
AO090011000949,72.5296836222274
AO090102000349,78.0396891840044
AO090003000682,92.7359924980042
AO090026000457,51.8095542129644
AO090011000378,24.2594781168092
AO090003000919,38.5641715252261
AO090020000084,69.4108979833079
AO090005001430,33.3124830015676
AO090001000434,66.8147074674969
AO090102000579,74.453590145204
AO090001000750,42.451377109872
AO090011000292,53.1749388082974
AO090020000444,5.15000186880363
AO090102000511,167.648070252517
AO090701000751,80.36578846207
AO090701000060,69.0414364737668
AO090701000689,62.759054145734
AO090003001087,72.9807721897434
AO090001000589,81.3889930628395
AO090026000230,101.775602802667
AO090102000585,71.0310757654177
AO090206000003,89.6089480376616
AO090120000329,74.0441508003477
AO090003000016,68.9328180191589
AO090001000073,24.6323459789163
AO090038000232,82.7113474950165
AO090026000373,48.0113345619779
AO090026000504,69.7505510957629
AO090001000689,27.8793370397735
AO090023000665,73.4598404540063
AO090103000051,20.6207661616541
AO090005000666,111.405719181958
AO090005000900,77.7919680140714
AO090003000632,30.8737843514529
AO090001000546,122.756454116723
AO090023000897,54.739176522537
AO090012000417,95.3572014678978
AO090026000361,25.9997131866211
AO090020000349,68.3869452125454
AO090023000771,83.5691732500864
AO090120000115,64.6431531172809
AO090003000532,46.3378213570576
AO090038000396,83.6744546971502
AO090020000438,271.85152744004
AO090113000001,53.1375398279443
AO090026000842,114.255128558344
AO090012000248,87.0364632072324
AO090103000063,52.557020161482
AO090005000738,63.5029343683729
AO090009000672,90.1398893161491
AO090206000022,68.6260604055963
AO090012000498,14.064784702826
AO090003001338,93.4883824073298
AO090012000838,32.8485707251035
AO090103000339,68.5462408224754
AO090003000467,80.8566682751634
AO090005000941,25.4454266632853
AO090102000609,51.5665715040388
AO090701000115,6.07045204682988
AO090005001529,2.75351476936034
AO090009000515,47.6694729394283
AO090003000056,65.2247546762439
AO090701000618,140.854428312058
AO090120000313,72.8446653894231
AO090026000697,50.0834909671249
AO090026000832,11.5404663127603
AO090012000652,108.855617215379
AO090003000367,13.3820817790913
AO090113000051,49.4405844973761
AO090010000537,7.26679461688331
AO090102000645,88.1788223730096
AO090026000231,87.0706021662595
AO090005000100,34.9696375708764
AO090102000445,115.361214579825
AO090026000178,67.6332065224134
AO090005001381,67.7746793675474
AO090120000384,7.56660520627132
AO090701000382,43.5947317216614
AO090023000972,68.9798029850065
AO090023000807,45.9148587790837
AO090026000428,44.6462751889141
AO090012000186,47.0851025560619
AO090010000225,60.1554154048159
AO090012000713,38.9815768587956
AO090003001201,67.3814647279006
AO090038000454,81.3017538254847
AO090005000471,20.0592588180499
AO090001000747,53.3180587157957
AO090701000127,40.4205274880858
AO090023000465,46.8459815366174
AO090023000133,39.1319273385141
AO090038000299,97.0389484886802
AO090009000250,64.9797467955444
AO090001000692,43.4677835566361
AO090012000414,55.8418339215746
AO090005001355,20.1079039078288
AO090120000172,78.1495478108911
AO090003000897,21.9538532337174
AO090005001176,98.4506689808566
AO090005000590,79.9220815539814
AO090005000886,70.1601375401394
AO090003000999,114.969075602113
AO090005001122,49.9366877144679
AO090026000463,36.5506879868317
AO090003000686,29.7379595090917
AO090023000864,59.0385960842262
AO090010000203,68.7839344086293
AO090011000154,14.6827593915313
AO090206000065,6.21532915784875
AO090023000147,6.83479199867914
AO090023000609,186.023866276981
AO090003000021,90.4666516833902
AO090012000537,67.0510139049556
AO090010000753,109.560903454548
AO090026000501,28.8529011903687
AO090005001065,22.9793323479345
AO090009000334,66.8828737477627
AO090012000418,52.7682497602254
AO090012001005,50.7466584319472
AO090701000021,82.0444553519084
AO090011000955,86.2727616527496
AO090009000682,74.9749402877524
AO090005001572,72.8294751766425
AO090102000246,154.804043223274
AO090005000897,116.707218928569
AO090023000697,48.5040111608694
AO090023000645,42.7714706416155
AO090020000608,36.5203011515161
AO090701000763,96.9901840310893
AO090001000726,104.405053785954
AO090009000366,104.787853011562
AO090102000244,76.2227616402806
AO090012000155,75.1334052748643
AO090102000183,32.9840043850841
AO090001000524,58.0598257082267
AO090010000204,41.9341007231884
